Startup,URL,Description,Country,Focus Area,Innovation Area,Founded,Maturity,Total Funding,Funding Stage,Theme
Wiliot,https://www.wiliot.com/,"Wiliot is a fabless semiconductor company developing passive SoC platforms for the IoT applications. The company has developed a technology that allows it to produce cloud-connected, sticker-sized, battery-free Bluetooth tags which generate power by harvesting ambient RF energy. The tags can be equipped with a variety of sensors and also offers some processing power. Has use cases in areas of manufacturing, distribution, retail, ownership, and recycling. Partners include Good Traveler and Cleantech.",USA,Predictive Maintainance,Smart Operations,2017,Nascent,"70,000,000",Series B,Stability
Wingtra,https://wingtra.com/drone-mapping-applications/drones-in-construction-and-infrastructure/,"Wingtra is a manufacturer of drones for the agriculture industry. It has developed WingtraOne, a surveying and mapping fixed-wing drone capable of vertical take-off and landing for the inspection of agriculture fields, forests, mining, and construction areas. The drone can be managed through its WingtraPilot software to collect survey grade aerial data which can be further processed into 2D maps and 3D models. Caters to various industries including mining, agriculture, construction, and surveying. Clients include Tetra Tech,  Suncor Energy, and Eberhard among others.",Switzerland,Predictive Maintainance,Smart Operations,2016,Nascent,"18,900,000",Series A,Stability
X1 Wind,http://www.x1wind.com/,"X1 Wind is an Offshore wind energy company focussed on developing offshore floating technologies to increase the turbine efficiency. ""X1 WIND"" turbine system has been designed for offshore wind industry with lower costs and reliable technology. Turbine stands on a single point mooring system-based pivot buoy which is claimed to be offering weathervaning. Three tethers are attached to the pivot, this allows the equal share of the load on all the tethers while wind thrust is directly transmitted to the Tension Leg Platform (TLP) mooring system.",Spain,Renewable Generation,Whole System Resources,2017,Nascent,"1,000,000",Seed,Sustainability
Xcharge,http://www.xcharge.com/en/,"X-Charge provides charging stations and equipment for charging facility owners and individuals. Has 5 charging stations in its product portfolio. Claims that 3 charging stations won red dot design award. All charging stations are equipped with a proprietary operating system developed by C-Charge which provide functionalities like online monitoring, platform management, We Chat integration, order tracking, data analysis and more. Has features like auto-unplug, parking detection, LED monitor and others.",China,Infr. for e-transport,Transport,2015,Nascent,,Series A,Mobility
XYZ Reality,https://www.xyzreality.com/,Real-time augmented reality based BIM solution for construction industry,England,Asset & data management,Smart Assets,2017,Nascent,"9,200,000",Series A,Stability
Yayzy,https://www.yayzy.com/,"Yayzy provides a mobile app for carbon footprint awareness. Its app helps users to monitor and reduce the carbon footprint generated by them. Its algorithm can monitor the carbon footprint of users purchases. It also helps users to discovers the eco-friendly restaurants, retailers and grocery shops. Users can also buy carbon credits from the app.",England,CCT,Carbon Management,2019,Nascent,"321,177",Seed,Sustainability
Yotta,https://yottaenergy.com/,"Yotta Energy is a provider of solar energy storage systems. It offers a decentralized panel-level storage system called SolarLEAF that is connected with a wireless mesh transceiver. Also, offers software called the Yotta Energy Service platform that allows remote monitoring and control of the SolarLEAF system.",USA,Grid-scale Storage,Whole System Resources,2017,Nascent,"7,789,995",Seed,Stability
ZapGo,https://zapgo.com/,Zap Go is developing a supercapacitor based fast charging power storage product to be used in consumer electronics and Electric Vehicles. The company claims that users will be able to charge their products in 5 minutes using this battery system. They are aiming to replace existing lithium-ion based storage in various devices and is targeting a production by 2017.,England,Infr. for e-transport,Transport,2013,Nascent,"8,149,999",Series A,Mobility
Zaphiro,https://zaphiro.ch/,"Zaphiro Technologies is a provider of energy monitoring solutions alongside control systems. Solutions provided boast features such as PMU functionality, visualization, alarming and optimization functions, fault location, improving quality of power supply and reducing OPEX, and combined monitoring and fault management systems.",Switzerland,Smarter Grid,Optimising Network Resources,2017,Nascent,"1,486,920",Seed,Accessibility
Zeep,https://zeep.com/,"Zero Emission Energy Plants (ZEEP) creates clean energy from natural energy resources such as coal, petcoke, waste and biomass. ZEEP aims to create large energy centers for the production of a variety of clean inexpensive fuels around the world.",USA,Renewable Generation,Greening Industry,2008,Emerging,"22,246,836",Series B,Sustainability
