Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD),Year Score,Funding Score,Maturity Score,Maturity,Value Chain Grouping,EU,Focus Area,Opportunity Space
Symphony,https://symphony.com/,4,Automate workflows,13,Document Streamlining,"Symphony provides an open source, secure communication and workflow platform that aims to improve workplace productivity and connects users to their community. Symphony has been designed to satisfy the compliance requirements of highly regulated companies. It is being backed up by some of Wall Steet's big names like Goldman Sachs, JP Morgan, Morgan Stanley, Credit Suisse, Bank of America, Citibank, Deutsche Bank, Wells Fargo.",USA,2014,Series E,2019,465000000,165000000,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
Tagomi,tagomi.com,2,Access Liquidity,5,Tokenization and Digital Assets,"Tagomi is an electronic brokerage for digital assets, combining institutional-grade services with proven infrastructure that clients have come to expect in other institutional asset classes. Tagomi provides access to best-priced liquidity, low commissions, and maximized client returns, helping usher in transparency in otherwise opaque markets.On May 27, 2020 Tagomi was acquired by Coinbase. The terms of the transaction were not disclosed.",USA,2018,Series A,2019,28000000,12000000,0.33,0.33,0.33,Nascent,2. SECONDARY,N,,
TagPay,http://en.tagpay.fr/,4,Automate workflows,11,Trade Straight Through Processing,"TagPay has developed the next-generation Core Banking System. Real-time, agile, cloud-based, mobile-centric, the Digital Banking System by TagPay powers innovative and highly adaptable financial services in 25 countries (Europe, Africa and Latin America).  The TagPay Digital Banking System enables the development of the best digital banks, neobanks, EMIs, payment establishment, mobile financial services implemented by international or local banks, microfinance organizations, NGOs, MNOs and FinServs. TagPay is omnichannel and ubiquitous.  End-users can receive their salaries on their mobile, ask for a loan in real-time, pay bills from their banking app, transfer money (nationally and internationally), pay at a point of sale, renew their subscriptions, top-up their phones, and access many other financial services TagPay's clients are offering and launching for them. Thanks to the agility of the DBS by TagPay, any new offer can be developed in less than a month.",France,2005,Seed,2018,4023580,2913640,1,0,0.5,Emerging,4. CLIENT SERVICING & SUPPORT,Y,,
TAINA Technology,http://www.TAINA.tech,1,Meet Regulatory Requirements,1,Regulatory Compliance,"TAINA Technology provides online client onboarding and compliance management solution for financial institutions. It helps in automating regulatory and the platform provides online and paper form validation for FATCA and CRS forms. The platform automates client onboarding and covers KYC, AML, MIFID, GDPR, FATCA, and CRS.",England,2016,Seed,2020,-,-,0.33,0,0.165,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Tasksize,https://www.taskize.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Taskize provides a solution to system failures: whenever there is a failure in a settlement, Taskize automatically connects the two parties directly",England,2012,Acquired,-,-,-,0.66,1,0.83,Mature,3. POST TRADE,Y,,
Taurus,https://www.taurusgroup.ch/en,2,Access Liquidity,5,Tokenization and Digital Assets,TAURUS Group is building a cryptocurrency exchange platform. Offers asset management & advisory services to investors. Offers TAURUS PROTECT which is a vault for securing digit assets. Also offers crypto market price.,Switzerland,2018,Series A,2020,10800000,10800000,0.33,0.33,0.33,Nascent,2. SECONDARY,Y,,
Templum Inc,https://www.templuminc.com/,2,Access Liquidity,5,Tokenization and Digital Assets,"Templum provides a blockchain-based platform for tokenized asset offerings (TAOs) and their secondary trading. Its flagship product, Templum Markets is an alternative trading system for private & unregistered digital assets. It offers end-to-end solutions for issuers to raise capital and offer investors a venue for secondary trading.",USA,2017,Series A,2018,12700000,10000000,0.33,0.33,0.33,Nascent,1. PRIMARY,N,,
TERA FUNDING,terafunding.com,5,Engage Consumers,16,P2P Platforms,TERA FUNDING is a real estate P2P financial company that offers an online platform for small investors to provide first-tier small and medium-sized construction loans to businesses.,South Korea,2014,Series B,2019,28570000,18160000,0.66,0.33,0.495,Nascent,1. PRIMARY,N,,
Theorem,http://www.theoremlp.com,3,Manage Risk,9,Data & Risk Analytics,"Theorem uses machine learning, data science, and software engineering to invest in loans originated by online platforms. Hugh Edmundson (CEO) is formerly a member of Morgan Stanleyâ€™s credit derivatives team, and Abeer Agrawal (CTO) is a former Googler and employee #1 at a startup called MobileSpan (which got acquired by Dropbox). We started off with YC's winter 2014 batch, managing $50k in assets. Today we are a company of almost 30 employees managing over $800 million AUM, and Theoremâ€™s assets have increased by more than 50% since year-end 2017.",USA,2014,Seed,2014,2500000,2500000,0.66,0,0.33,Nascent,2. SECONDARY,N,,
Theta Lake,https://thetalake.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"ThetaLake provides AI-based solutions for video communication compliance. It helps in detecting compliance risk in video collaboration, call recordings, video marketing, social video, and more. It offers multiple products such as Compliance for policy detection of regulatory risks & compliance and RingCentral Glip Archiver for automated risk detection.",USA,2017,Seed,2019,5000000,5000000,0.33,0,0.165,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
ThetaRay,https://thetaray.com/,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),ThetaRay provides AI-based cyber threats and operational risk detection solutions. It deals with the Specialized Threat Analysis & Protection (STAP) space. It enables businesses to detect and prevent APT (Advanced Persistent Threat) and zero-day attacks. The company utilizes its proprietary algorithms to detect anomalies in the business through big data analytics techniques.,Israel,2013,Series B,2018,60000000,30000000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Thought Machine,https://thoughtmachine.net/,4,Automate workflows,12,IT & Data Cost Managament,"Thought Machine offers a cloud-based core banking platform. It provides the core technology for essential bank functions including building digital bank products such as loans, credit cards & mortgages, and more. Their engagement model helps clients with design, requirements, and partnerships.",England,2014,Series B,2020,149000000,42000000,0.66,0.33,0.495,Nascent,5. E-2-E INTEGRATION,Y,,
ThoughtRiver,https://thoughtriver.com,4,Automate workflows,13,Document Streamlining,"Thoughtriver is a legal contract automation solution which uses NLP to analyse and review legal agreements for internal contract review and compliance using artificial intelligence and risk profiling. It can identify potentially problematic clauses in contracts. By using predictive and behavioural analytics, machine trained text mining and data visualisation it enables companies to understand and transform the quality of legal deals - for speeding decision making, and providing better information on which to make decisions. It suggests better legal language or explains the problem, as the case requires. The company is run as a joint venture with leading technology law firm Taylor Vinters LLP. The company operates from offices in Cambridge, London and Singapore.",England,2013,Series A,2020,15000000,10000000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Tick Smith,https://www.ticksmith.com/,4,Automate workflows,12,IT & Data Cost Managament,"TickSmith offers trade management solutions for brokers, asset managers, and investors. It provides AI & ML-driven tools to evaluate insights from investments made, backtesting, post-trade solutions, and access to historical data and investments. It features data gathering, organizing, leveraging, and distributing for regulatory compliance and control. It offers cloud-based technologies for deployment, data pooling, analytics, and data monetization.",Canada,2012,Seed,2020,3080000,1500000,0.66,0,0.33,Nascent,2. SECONDARY,N,,
Tigerobo,tigerobo.com,3,Manage Risk,9,Data & Risk Analytics,"Tigerobo is an intelligent financial search company, which aims to enable easier access to financial knowledge. Based on deep learning, natural language processing (NLP) and other cutting-edge technologies. Tigerobo mines valuable information and data of the international financial market and provides dynamic automatic analysis, and interprets and summarizes information. It frees organizations and individuals around the world who are focused on the capital market from tedious and repetitive tasks, and enables them to concentrate their energies on more creative work.",China,2017,Series A,2019,48300000,33000000,0.33,0.33,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
